benchmark,task,method,source_weight_mean,target_weight_mean,target_labels_used_for_weight_selection,accuracy,balanced_accuracy,mean_reliability,selection_objective
officehome,P2A,uncertainty_scaled_target,0.1,0.017097555100917816,False,78.98640296662546,74.63831768017134,0.6839022636413574,
officehome,P2A,class_adaptive,0.1290244311094284,0.06839022040367126,False,74.2068397198187,72.30617299576953,0.6839022636413574,
officehome,P2A,label_free_entropy_selected,0.2,0.3333333333333333,False,78.03873094355171,73.59134955204865,,0.3611209481954575
officehome,P2C,fixed_asymmetric,0.1,0.025,False,67.90378006872852,67.10755027824045,,
officehome,P2C,uniform,0.3333333333333333,0.3333333333333333,False,66.1168384879725,64.90790396347052,,
officehome,P2C,uncertainty_scaled_target,0.1,0.018184654414653778,False,66.94158075601374,65.7997882988922,0.7273861169815063,
officehome,P2C,class_adaptive,0.11815346032381058,0.07273861765861511,False,57.64032073310423,58.834873778332096,0.7273861169815063,
officehome,P2C,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,66.1168384879725,64.90790396347052,,0.6590054146945477
officehome,P2R,fixed_asymmetric,0.1,0.025,False,89.18980950195088,87.3658113576147,,
officehome,P2R,uniform,0.3333333333333333,0.3333333333333333,False,88.06518246499884,86.54116879218373,,
officehome,P2R,uncertainty_scaled_target,0.1,0.020901191979646683,False,88.77668120266237,86.692112325603,0.8360476493835449,
officehome,P2R,class_adaptive,0.09098808467388153,0.08360476791858673,False,84.1175120495754,83.04029861225263,0.8360476493835449,
officehome,P2R,label_free_entropy_selected,0.2,0.3333333333333333,False,88.73077805829699,87.09898962605384,,0.19174497127532958
officehome,R2A,fixed_asymmetric,0.1,0.025,False,79.48084054388134,75.28909710719086,,
officehome,R2A,uniform,0.3333333333333333,0.3333333333333333,False,77.46188710341985,73.34580666740855,,
officehome,R2A,uncertainty_scaled_target,0.1,0.017223523929715157,False,79.11001236093944,74.62844299180155,0.6889409422874451,
officehome,R2A,class_adaptive,0.1277647614479065,0.06889409571886063,False,70.86938607334157,69.48766442528877,0.6889409422874451,
officehome,R2A,label_free_entropy_selected,0.2,0.3333333333333333,False,78.61557478368356,74.46427213827269,,0.36215727776288986
officehome,R2C,fixed_asymmetric,0.1,0.025,False,67.0103092783505,66.36983430640659,,
officehome,R2C,uniform,0.3333333333333333,0.3333333333333333,False,64.35280641466208,63.50072995315864,,
officehome,R2C,uncertainty_scaled_target,0.1,0.018229328095912933,False,66.20847651775486,65.29561552677237,0.7291731238365173,
officehome,R2C,class_adaptive,0.11770671606063843,0.07291731238365173,False,54.04352806414662,56.1289447437603,0.7291731238365173,
officehome,R2C,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,64.35280641466208,63.50072995315864,,0.6262750439345837
officehome,R2P,fixed_asymmetric,0.1,0.025,False,88.28564992115341,87.62384824125252,,
officehome,R2P,uniform,0.3333333333333333,0.3333333333333333,False,89.29939175489974,88.73452434052699,,
officehome,R2P,uncertainty_scaled_target,0.1,0.0209063608199358,False,87.63234962829466,86.8725548189472,0.8362544178962708,
officehome,R2P,class_adaptive,0.09093639254570007,0.0836254432797432,False,76.57129984230683,74.41086795028512,0.8362544178962708,
officehome,R2P,label_free_entropy_selected,0.2,0.3333333333333333,False,89.74994368100924,89.2524550324724,,0.16949738003313541
