benchmark,task,method,noise_rate,repetition,corrupted_selected_labels,classes_with_target_support,mean_cosine_to_oracle_target_prototype,target_labels_used_only_for_noise_control_and_posthoc_diagnostics,accuracy,balanced_accuracy
office31,D2A,without_source_fusion,0.2,2,445,31,0.9920196533203125,True,81.008164714235,80.63926208306363
office31,D2A,source_anchored,0.2,3,445,31,0.9915367960929871,True,81.32765353212638,80.93480061976797
office31,D2A,without_source_fusion,0.2,3,445,31,0.9915367960929871,True,80.97266595669151,80.60599927677717
office31,D2A,source_anchored,0.2,4,445,31,0.9925166368484497,True,81.2921547745829,80.8833579289395
office31,D2A,without_source_fusion,0.2,4,445,31,0.9925166368484497,True,81.11466098686546,80.73903636257923
office31,D2A,source_anchored,0.3,0,667,31,0.9876758456230164,True,81.22115725949591,80.81717187485022
office31,D2A,without_source_fusion,0.3,0,667,31,0.9876758456230164,True,80.97266595669151,80.60531351860293
office31,D2A,source_anchored,0.3,1,667,31,0.9885877370834351,True,81.36315228966986,80.95091593686254
office31,D2A,without_source_fusion,0.3,1,667,31,0.9885877370834351,True,80.97266595669151,80.60802226553349
office31,D2A,source_anchored,0.3,2,667,31,0.9884582161903381,True,81.2921547745829,80.88472988277326
office31,D2A,without_source_fusion,0.3,2,667,31,0.9884582161903381,True,81.008164714235,80.6385763248894
office31,D2A,source_anchored,0.3,3,667,31,0.9872403144836426,True,81.32765353212638,80.9173137863249
office31,D2A,without_source_fusion,0.3,3,667,31,0.9872403144836426,True,81.008164714235,80.63891566914056
office31,D2A,source_anchored,0.3,4,667,31,0.9873208403587341,True,81.2566560170394,80.85077402538786
office31,D2A,without_source_fusion,0.3,4,667,31,0.9873208403587341,True,81.008164714235,80.6371459706264
office31,D2A,source_anchored,0.4,0,889,31,0.9810323119163513,True,81.36315228966986,80.96769579409535
office31,D2A,without_source_fusion,0.4,0,889,31,0.9810323119163513,True,81.04366347177849,80.67251781967819
office31,D2A,source_anchored,0.4,1,889,31,0.9822668433189392,True,81.36315228966986,80.94987647184054
office31,D2A,without_source_fusion,0.4,1,889,31,0.9822668433189392,True,80.97266595669151,80.604229578263
office31,D2A,source_anchored,0.4,2,889,31,0.9824081063270569,True,81.36315228966986,80.94867579349336
office31,D2A,without_source_fusion,0.4,2,889,31,0.9824081063270569,True,81.15015974440894,80.78027741675324
office31,D2A,source_anchored,0.4,3,889,31,0.9825282692909241,True,81.32765353212638,80.91764627513666
office31,D2A,without_source_fusion,0.4,3,889,31,0.9825282692909241,True,80.93716719914804,80.57095991653712
office31,D2A,source_anchored,0.4,4,889,31,0.9829026460647583,True,81.36315228966986,80.96443740374018
office31,D2A,without_source_fusion,0.4,4,889,31,0.9829026460647583,True,80.97266595669151,80.60389023401184
office31,D2A,source_anchored,0.5,0,1112,31,0.974973201751709,True,81.32765353212638,80.91764627513666
office31,D2A,without_source_fusion,0.5,0,1112,31,0.974973201751709,True,80.90166844160454,80.53770417992256
office31,D2A,source_anchored,0.5,1,1112,31,0.9735683798789978,True,81.18565850195243,80.7823831853092
office31,D2A,without_source_fusion,0.5,1,1112,31,0.9735683798789978,True,80.83067092651757,80.47734241815229
office31,D2A,source_anchored,0.5,2,1112,31,0.9742352962493896,True,81.2921547745829,80.90063490069439
office31,D2A,without_source_fusion,0.5,2,1112,31,0.9742352962493896,True,80.90166844160454,80.53904826594406
office31,D2A,source_anchored,0.5,3,1112,31,0.9741933941841125,True,81.2921547745829,80.88437617592548
office31,D2A,without_source_fusion,0.5,3,1112,31,0.9741933941841125,True,80.90166844160454,80.5467145999074
office31,D2A,source_anchored,0.5,4,1112,31,0.973131000995636,True,81.22115725949591,80.81955542589372
office31,D2A,without_source_fusion,0.5,4,1112,31,0.973131000995636,True,80.83067092651757,80.47044811060466
office31,D2W,source_anchored,0.0,0,0,30,0.971530020236969,True,86.28930817610063,85.2774233049562
office31,D2W,without_source_fusion,0.0,0,0,30,0.9686883091926575,True,83.8993710691824,82.9379531168119
office31,D2W,source_anchored,0.0,1,0,30,0.971530020236969,True,86.28930817610063,85.2774233049562
office31,D2W,without_source_fusion,0.0,1,0,30,0.9686883091926575,True,83.8993710691824,82.9379531168119
office31,D2W,source_anchored,0.0,2,0,30,0.971530020236969,True,86.28930817610063,85.2774233049562
office31,D2W,without_source_fusion,0.0,2,0,30,0.9686883091926575,True,83.8993710691824,82.9379531168119
office31,D2W,source_anchored,0.0,3,0,30,0.971530020236969,True,86.28930817610063,85.2774233049562
office31,D2W,without_source_fusion,0.0,3,0,30,0.9686883091926575,True,83.8993710691824,82.9379531168119
office31,D2W,source_anchored,0.0,4,0,30,0.971530020236969,True,86.28930817610063,85.2774233049562
office31,D2W,without_source_fusion,0.0,4,0,30,0.9686883091926575,True,83.8993710691824,82.9379531168119
office31,D2W,source_anchored,0.1,0,64,31,0.9840381741523743,True,86.0377358490566,84.95403418700002
office31,D2W,without_source_fusion,0.1,0,64,31,0.9840381741523743,True,83.77358490566039,82.83042623509148
